İl,2023,2024,2025,2026,2027,2028,2029,2030
Toplam,85372377,85811876,86239200,86654276,87057013,87447192,87824415,88188221
Adana,2270298,2268828,2266381,2263094,2259187,2254876,2250163,2244864
Adıyaman,604978,606620,607593,608815,610156,611031,611492,611738
Afyonkarahisar,751344,751827,753047,754124,755077,755847,756452,756903
Ağrı,511238,502130,493126,484176,475241,466293,457347,448456
Amasya,339529,340458,340490,340545,340547,340507,340409,340258
Ankara,5803482,5849348,5886877,5923283,5958758,5994001,6028258,6062005
Antalya,2696249,2732379,2771976,2811011,2849751,2888627,2927626,2966053
Artvin,172356,171644,171614,171526,171420,171316,171243,171169
Aydın,1161702,1170463,1179886,1189079,1198104,1207044,1215923,1224705
Balıkesir,1273519,1278743,1283557,1288032,1292228,1296195,1299909,1303343
Bilecik,228058,232752,234445,236094,237713,239340,240968,242602
Bingöl,285655,286810,287950,289089,290198,291293,292342,293371
Bitlis,359747,359877,360105,360228,360251,360179,360021,359782
Bolu,324789,326002,328174,330282,332276,334244,336240,338299
Burdur,277452,278401,279826,281064,282287,283554,284901,286314
Bursa,3214571,3248571,3280388,3311237,3341508,3371368,3400793,3429458
Çanakkale,570499,574586,580301,585939,591520,597023,602527,608109
Çankırı,205501,204282,206010,207732,209457,211180,212879,214536
Çorum,528351,521930,517360,512844,508196,503552,498897,494205
Denizli,1059082,1064215,1068012,1071536,1074796,1077839,1080680,1083284
Diyarbakır,1818133,1832735,1844319,1855300,1865537,1875177,1884229,1892662
Edirne,419913,421681,423304,424775,426111,427369,428621,429942
Elazığ,604411,603559,603800,604038,604206,604312,604306,604068
Erzincan,243399,242335,243400,244461,245503,246452,247402,248383
Erzurum,749993,743530,738615,733638,728600,723475,718275,713012
Eskişehir,915418,923343,931069,938621,945971,953201,960326,967369
Gaziantep,2164134,2181635,2196824,2211389,2225505,2239306,2252832,2265977
Giresun,461712,458101,456810,455524,454297,453021,451687,450269
Gümüşhane,148539,140831,136465,132162,127962,123855,119867,116024
Hakkari,287625,291910,292525,293058,293533,293970,294360,294678
Hatay,1544640,1558514,1565857,1575016,1585068,1593795,1601170,1608232
Isparta,449777,450101,451949,453550,454993,456253,457394,458507
Mersin,1938389,1947375,1956682,1964975,1972645,1980180,1987596,1994557
İstanbul,15655924,15750243,15817365,15882993,15947021,16009479,16070396,16129457
İzmir,4479525,4503926,4524368,4544627,4564041,4582782,4600861,4618204
Kars,278335,274849,271601,268397,265216,262048,258928,255810
Kastamonu,388990,387218,387136,386953,386698,386384,385996,385552
Kayseri,1445683,1451942,1457242,1462179,1466873,1471468,1475879,1479972
Kırklareli,377156,379681,381993,384205,386335,388404,390419,392365
Kırşehir,247179,246538,246869,247134,247321,247447,247522,247566
Kocaeli,2102907,2136143,2167143,2197744,2228015,2258020,2287796,2317271
Konya,2320241,2329984,2341719,2352929,2363592,2373885,2383818,2393327
Kütahya,575674,573071,572094,571000,569815,568591,567369,566111
Malatya,742725,749282,753281,758364,763958,768906,773175,777351
Manisa,1475716,1481527,1487819,1493682,1499184,1504372,1509212,1513632
Kahramanmaraş,1116618,1125181,1128944,1133303,1137952,1141942,1145407,1148739
Mardin,888874,894722,901607,908213,914555,920677,926636,932227
Muğla,1066736,1079606,1093642,1107525,1121484,1135489,1149533,1163516
Muş,399879,395074,391146,387219,383251,379208,375090,370912
Nevşehir,315994,317229,318913,320538,322132,323763,325396,327020
Niğde,377080,376700,377943,379102,380178,381183,382105,382934
Ordu,775800,771037,768345,765436,762303,759191,756038,752772
Rize,350506,350401,351436,352433,353390,354308,355159,355938
Sakarya,1098115,1108205,1120585,1132897,1145111,1157224,1169220,1181121
Samsun,1377546,1379001,1381318,1383308,1385031,1386577,1387912,1388937
Siirt,347412,347660,348221,348718,349169,349555,349898,350173
Sinop,229716,231072,233285,235472,237659,239852,242047,244265
Sivas,650401,646151,645645,644994,644215,643391,642465,641429
Tekirdağ,1167059,1192308,1217009,1241779,1266641,1291643,1316753,1341928
Tokat,606934,601477,600947,600335,599638,598839,597927,596882
Trabzon,824352,825586,828350,830901,833344,835790,838017,840025
Tunceli,89317,90021,90648,91251,91857,92478,93104,93752
Şanlıurfa,2213964,2235489,2257242,2277495,2296454,2314558,2331926,2348433
Uşak,377001,378133,379561,380943,382233,383460,384624,385751
Van,1127612,1125376,1122636,1119602,1116234,1112506,1108477,1104161
Yozgat,420699,414190,410717,407271,403867,400459,397024,393559
Zonguldak,591492,587228,583523,579757,575917,571980,567931,563754
Aksaray,438504,440386,443122,445771,448330,450821,453246,455587
Bayburt,86047,83931,82593,81225,79846,78490,77177,75879
Karaman,263960,265292,266509,267654,268774,269897,271002,272125
Kırıkkale,285744,282570,281068,279488,277813,276055,274227,272335
Batman,647205,652225,658281,664074,669655,675109,680431,685590
Şırnak,570745,583108,592914,602631,612257,621842,631383,640848
Bartın,207238,207802,208790,209752,210700,211639,212570,213468
Ardahan,92819,91494,90273,89082,87913,86753,85583,84424
Iğdır,209738,209426,209488,209531,209510,209442,209355,209215
Yalova,304780,310093,316266,322510,328841,335279,341802,348426
Karabük,255242,254838,255149,255380,255577,255786,256046,256292
Kilis,155179,156006,157652,159228,160741,162250,163778,165287
Osmaniye,557666,559094,560036,560784,561384,561838,562188,562420
Düzce,409865,413843,418025,422230,426385,430456,434434,438347
