"Araştırma geliştirme faaliyetleri istatistikleri
Statistics on research and development activities";;;;;;;;;;;;;;;;;;;;;;;
;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Gayrisafi yurtiçi Ar-Ge harcaması / GSYH - GERD / GDP (%);;0,52;0,51;0,47;0,50;0,56;0,55;0,69;0,69;0,80;0,79;0,79;0,83;0,81;0,86;0,97;1,12;1,18;1,27;1,32;1,37;1,40;1,32
Toplam Ar-Ge harcaması - Total R&D Expenditure (TL-TRY);; 1 291 891 387; 1 843 288 038; 2 197 090 032; 2 897 516 250; 3 835 441 076; 4 399 880 662; 6 091 178 492; 6 893 048 199; 8 087 452 600; 9 267 589 617; 11 154 149 797; 13 062 263 394; 14 807 321 926; 17 598 117 442; 22 741 100 883; 29 411 867 411; 36 862 357 978; 47 801 863 438; 56 977 709 236; 69 038 125 507; 101 737 887 655; 198 669 743 783
;Ar-Ge personel harcaması -  Labour costs (TL-TRY);  455 623 258;  764 327 097;  965 788 741; 1 169 149 120; 1 747 579 400; 2 093 828 824; 2 931 836 842; 3 245 282 852; 4 004 846 364; 4 756 600 202; 5 726 332 115; 6 892 626 906; 7 996 726 569; 9 219 848 997; 10 363 482 407; 13 445 243 527; 16 959 598 260; 21 987 579 894; 27 853 941 141; 35 310 934 960; 49 720 281 156; 93 987 365 392
;Diğer cari Ar-Ge harcamaları - Other current cost (TL-TRY);  488 345 311;  654 605 161;  827 970 497; 1 256 384 106; 1 469 826 019; 1 721 288 642; 2 126 656 932; 2 538 312 788; 2 845 022 670; 3 194 845 860; 3 688 275 297; 4 412 684 722; 4 874 299 413; 6 140 815 114; 9 196 908 926; 12 540 575 973; 15 671 309 044; 20 542 444 889; 24 050 952 167; 28 016 476 301; 43 847 060 329; 88 100 308 547
;Ar-Ge yatırım harcaması - Capital cost (TL-TRY);  347 922 818;  424 355 780;  403 330 794;  471 983 023;  618 035 657;  584 763 196; 1 032 684 719; 1 109 452 560; 1 237 583 566; 1 316 143 555; 1 739 542 386; 1 756 951 767; 1 936 295 944; 2 237 453 331; 3 180 709 550; 3 426 047 911; 4 231 450 674; 5 271 838 655; 5 072 815 928; 5 710 714 246; 8 170 546 170; 16 582 069 844
Mali ve mali olmayan şirketler- Financial and non-financial corporations;;  435 856 643;  528 963 218;  510 351 896;  700 595 752; 1 297 591 429; 1 629 087 642; 2 513 487 115; 3 048 503 098; 3 235 272 345; 3 942 908 434; 4 817 272 485; 5 891 214 749; 7 031 518 974; 8 760 019 770; 11 207 003 438; 14 580 948 519; 18 415 556 216; 25 326 867 512; 31 940 686 522; 38 505 512 999; 62 400 169 966; 122 027 928 169
;Ar-Ge personel harcaması -  Labour costs (TL-TRY);  85 211 484;  108 783 456;  157 701 159;  189 999 074;  445 967 480;  606 620 419;  967 007 380; 1 228 327 175; 1 489 760 165; 1 857 154 076; 2 310 950 262; 2 937 207 043; 3 640 398 444; 4 365 472 509; 5 272 535 462; 6 447 876 085; 8 944 197 691; 11 430 880 416; 14 722 008 183; 18 450 549 439; 28 057 990 050; 58 160 461 450
;Diğer cari Ar-Ge harcamaları - Other current cost (TL-TRY);  150 532 532;  124 842 854;  228 209 294;  330 979 606;  588 044 693;  822 476 979;  986 662 517; 1 280 362 101; 1 336 709 510; 1 559 218 905; 1 779 811 243; 2 234 116 947; 2 547 075 798; 3 362 671 966; 4 975 605 388; 7 044 042 410; 8 366 722 578; 11 866 767 165; 15 061 368 118; 17 562 187 187; 30 270 658 359; 56 266 442 255
;Ar-Ge yatırım harcaması - Capital cost (TL-TRY);  200 112 627;  295 336 908;  124 441 443;  179 617 072;  263 579 256;  199 990 244;  559 817 218;  539 813 822;  408 802 670;  526 535 453;  726 510 980;  719 890 759;  844 044 732; 1 031 875 295;  958 862 588; 1 089 030 024; 1 104 635 947; 2 029 219 931; 2 157 310 221; 2 492 776 373; 4 071 521 557; 7 601 024 464
Genel devlet(1) - General government(1);;  95 100 575;  129 288 701;  229 326 155;  230 494 240;  443 161 191;  513 803 475;  642 841 769;  823 650 071; 1 016 522 342; 1 060 683 036; 1 263 503 530; 1 436 923 417; 1 543 493 558; 1 705 399 800; 2 130 766 481; 2 338 372 843; 2 858 435 052; 3 559 213 870; 3 044 485 454; 3 716 726 729; 4 583 609 094; 9 563 066 707
