"Yıllara göre il nüfusları, 2023-2030",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Population of provinces by years, 2023-2030",,,,,,,,
İl-Province,2023(1),2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
Toplam-Total,85372377,85811876.0,86239200.0,86654276.0,87057013.0,87447192.0,87824415.0,88188221.0
Adana,2270298,2268828.0,2266381.0,2263094.0,2259187.0,2254876.0,2250163.0,2244864.0
Adıyaman,604978,606620.0,607593.0,608815.0,610156.0,611031.0,611492.0,611738.0
Afyonkarahisar,751344,751827.0,753047.0,754124.0,755077.0,755847.0,756452.0,756903.0
Ağrı,511238,502130.0,493126.0,484176.0,475241.0,466293.0,457347.0,448456.0
Amasya,339529,340458.0,340490.0,340545.0,340547.0,340507.0,340409.0,340258.0
Ankara,5803482,5849348.0,5886877.0,5923283.0,5958758.0,5994001.0,6028258.0,6062005.0
Antalya,2696249,2732379.0,2771976.0,2811011.0,2849751.0,2888627.0,2927626.0,2966053.0
Artvin,172356,171644.0,171614.0,171526.0,171420.0,171316.0,171243.0,171169.0
Aydın,1161702,1170463.0,1179886.0,1189079.0,1198104.0,1207044.0,1215923.0,1224705.0
Balıkesir,1273519,1278743.0,1283557.0,1288032.0,1292228.0,1296195.0,1299909.0,1303343.0
Bilecik,228058,232752.0,234445.0,236094.0,237713.0,239340.0,240968.0,242602.0
Bingöl,285655,286810.0,287950.0,289089.0,290198.0,291293.0,292342.0,293371.0
Bitlis,359747,359877.0,360105.0,360228.0,360251.0,360179.0,360021.0,359782.0
Bolu,324789,326002.0,328174.0,330282.0,332276.0,334244.0,336240.0,338299.0
Burdur,277452,278401.0,279826.0,281064.0,282287.0,283554.0,284901.0,286314.0
Bursa,3214571,3248571.0,3280388.0,3311237.0,3341508.0,3371368.0,3400793.0,3429458.0
Çanakkale,570499,574586.0,580301.0,585939.0,591520.0,597023.0,602527.0,608109.0
Çankırı,205501,204282.0,206010.0,207732.0,209457.0,211180.0,212879.0,214536.0
Çorum,528351,521930.0,517360.0,512844.0,508196.0,503552.0,498897.0,494205.0
Denizli,1059082,1064215.0,1068012.0,1071536.0,1074796.0,1077839.0,1080680.0,1083284.0
Diyarbakır,1818133,1832735.0,1844319.0,1855300.0,1865537.0,1875177.0,1884229.0,1892662.0
Edirne,419913,421681.0,423304.0,424775.0,426111.0,427369.0,428621.0,429942.0
Elazığ,604411,603559.0,603800.0,604038.0,604206.0,604312.0,604306.0,604068.0
Erzincan,243399,242335.0,243400.0,244461.0,245503.0,246452.0,247402.0,248383.0
Erzurum,749993,743530.0,738615.0,733638.0,728600.0,723475.0,718275.0,713012.0
Eskişehir,915418,923343.0,931069.0,938621.0,945971.0,953201.0,960326.0,967369.0
Gaziantep,2164134,2181635.0,2196824.0,2211389.0,2225505.0,2239306.0,2252832.0,2265977.0
Giresun,461712,458101.0,456810.0,455524.0,454297.0,453021.0,451687.0,450269.0
Gümüşhane,148539,140831.0,136465.0,132162.0,127962.0,123855.0,119867.0,116024.0
Hakkari,287625,291910.0,292525.0,293058.0,293533.0,293970.0,294360.0,294678.0
Hatay,1544640,1558514.0,1565857.0,1575016.0,1585068.0,1593795.0,1601170.0,1608232.0
